INFO:util:Preprocessing dataset: species
INFO:pso:Using device: cpu
INFO:pso:Iteration 205/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 206/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 207/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 208/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 209/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 210/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 211/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 212/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 213/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 214/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 215/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 216/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 217/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 218/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 219/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 220/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 221/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 222/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 223/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 224/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 225/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 226/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 227/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 228/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 229/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 230/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 231/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 232/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 233/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 234/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 235/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 236/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
