Dataset,Method,Test Accuracy,Train Accuracy,Runtime
part,lstm,0.1428571428571428,0.0952380952380952,0
part,lstm,0.1428571428571428,0.1071428571428571,0
part,lstm,0.1428571428571428,0.1547619047619047,0
part,lstm,0.1428571428571428,0.1309523809523809,0
part,lstm,0.1428571428571428,0.1428571428571428,0
part,lstm,0.1428571428571428,0.1547619047619047,0
part,lstm,0.1428571428571428,0.1428571428571428,0
part,lstm,0.1428571428571428,0.1428571428571428,0
part,lstm,0.1428571428571428,0.119047619047619,0
part,lstm,0.1428571428571428,0.119047619047619,0
part,lstm,0.1428571428571428,0.0952380952380952,0
part,lstm,0.1428571428571428,0.1309523809523809,0
part,lstm,0.1428571428571428,0.0833333333333333,0
part,lstm,0.1428571428571428,0.1309523809523809,0
part,lstm,0.1428571428571428,0.119047619047619,0
part,lstm,0.1428571428571428,0.1428571428571428,0
part,moe,0.7380952380952381,0.8214285714285715,0
part,moe,0.6904761904761906,0.5238095238095238,0
part,moe,0.6904761904761906,0.7261904761904762,0
part,moe,0.6904761904761906,0.3333333333333333,0
part,moe,0.6904761904761906,0.5833333333333334,0
part,moe,0.6904761904761904,0.5476190476190476,0
part,moe,0.6666666666666666,0.5833333333333334,0
part,moe,0.6666666666666666,0.3452380952380952,0
part,moe,0.6666666666666666,0.4523809523809524,0
part,moe,0.6666666666666666,0.4761904761904762,0
part,moe,0.6428571428571429,0.4642857142857142,0
part,moe,0.6428571428571429,0.6071428571428571,0
part,moe,0.6428571428571429,0.1547619047619047,0
part,moe,0.6428571428571429,0.3928571428571428,0
part,moe,0.6428571428571429,0.5595238095238094,0
part,moe,0.6428571428571429,0.5952380952380952,0
part,moe,0.6428571428571429,0.2023809523809524,0
part,moe,0.6428571428571428,0.4285714285714285,0
part,moe,0.6428571428571428,0.2976190476190476,0
part,moe,0.6428571428571428,0.8690476190476191,0
part,moe,0.6190476190476191,0.6071428571428572,0
part,moe,0.6190476190476191,0.1428571428571428,0
part,moe,0.6190476190476191,0.4761904761904761,0
part,moe,0.6190476190476191,0.4285714285714285,0
part,moe,0.6190476190476191,0.238095238095238,0
part,moe,0.5952380952380952,0.1666666666666666,0
part,moe,0.5952380952380952,0.6904761904761906,0
part,moe,0.5714285714285715,0.3214285714285714,0
part,moe,0.5476190476190476,0.5,0
part,moe,0.5476190476190476,0.2261904761904761,0
part,nb,0.1666666666666666,1.0,0
part,nb,0.119047619047619,1.0,0
part,nb,0.2619047619047619,1.0,0
part,nb,0.2619047619047619,1.0,0
part,nb,0.1428571428571428,1.0,0
part,nb,0.0952380952380952,1.0,0
part,nb,0.1666666666666666,1.0,0
part,nb,0.1904761904761905,0.988095238095238,0
part,nb,0.2857142857142857,1.0,0
part,nb,0.1428571428571428,1.0,0
part,nb,0.1666666666666666,0.988095238095238,0
part,nb,0.1904761904761905,0.988095238095238,0
part,nb,0.1428571428571428,1.0,0
part,nb,0.1904761904761905,1.0,0
part,nb,0.238095238095238,1.0,0
part,nb,0.1666666666666666,1.0,0
part,nb,0.1666666666666666,0.988095238095238,0
part,nb,0.2142857142857142,1.0,0
part,nb,0.1666666666666666,1.0,0
part,nb,0.2142857142857142,1.0,0
part,nb,0.238095238095238,1.0,0
part,nb,0.1666666666666666,1.0,0
part,nb,0.1666666666666666,1.0,0
part,nb,0.1904761904761905,1.0,0
part,nb,0.1904761904761905,1.0,0
part,nb,0.1666666666666666,1.0,0
part,nb,0.2142857142857142,1.0,0
part,nb,0.119047619047619,1.0,0
part,nb,0.2380952380952381,1.0,0
part,nb,0.1428571428571428,1.0,0
part,opls-da,0.5714285714285714,0.7261904761904763,0
part,opls-da,0.5476190476190476,0.6666666666666666,0
part,opls-da,0.5476190476190476,0.6904761904761906,0
part,opls-da,0.5238095238095238,0.7380952380952381,0
part,opls-da,0.5238095238095238,0.7142857142857143,0
part,opls-da,0.5238095238095238,0.7142857142857143,0
part,opls-da,0.4285714285714285,0.6666666666666666,0
