Name,State,Created,Runtime,dataset,model,train_balanced_accuracy,val_balanced_accuracy,summary,config
winter-pine-1939,finished,2026-02-12T04:39:09.000Z,27,species,xgb,1,0.9791666666666666,,
robust-pond-1934,finished,2026-02-12T04:36:49.000Z,27,species,xgb,1,0.9791666666666666,,
drawn-sun-1958,finished,2026-02-12T04:48:14.000Z,28,species,xgb,1,0.96875,,
upbeat-salad-1951,finished,2026-02-12T04:44:46.000Z,28,species,xgb,1,0.96875,,
confused-wood-3314,finished,2026-02-13T06:43:40.000Z,43,species,kan,0.9833333333333334,0.9895833333333334,,
whole-hill-3302,finished,2026-02-13T06:34:43.000Z,45,species,kan,0.9697916666666666,0.9895833333333334,,
pleasant-haze-3311,finished,2026-02-13T06:41:27.000Z,44,species,kan,0.7479166666666667,0.9833333333333334,,
dandy-silence-3298,finished,2026-02-13T06:31:38.000Z,47,species,kan,0.81875,0.9833333333333334,,
warm-music-3297,finished,2026-02-13T06:30:52.000Z,45,species,kan,0.9625,0.98125,,
whole-darkness-3296,finished,2026-02-13T06:30:08.000Z,43,species,kan,0.9510416666666668,0.98125,,
wandering-wildflower-3291,finished,2026-02-13T06:26:22.000Z,46,species,kan,0.7822916666666666,0.975,,
curious-frog-3301,finished,2026-02-13T06:33:58.000Z,44,species,kan,0.8156249999999999,0.975,,
rose-microwave-3305,finished,2026-02-13T06:36:58.000Z,43,species,kan,0.6583333333333333,0.975,,
crimson-fog-3294,finished,2026-02-13T06:28:40.000Z,41,species,kan,0.7833333333333333,0.975,,
good-microwave-3320,finished,2026-02-13T06:48:20.000Z,44,species,kan,0.759375,0.975,,
exalted-firefly-3306,finished,2026-02-13T06:37:42.000Z,44,species,kan,0.775,0.9729166666666668,,
treasured-microwave-3310,finished,2026-02-13T06:40:41.000Z,44,species,kan,0.9208333333333334,0.9729166666666668,,
cerulean-river-3307,finished,2026-02-13T06:38:27.000Z,43,species,kan,0.8239583333333332,0.9729166666666668,,
good-valley-3315,finished,2026-02-13T06:44:24.000Z,44,species,kan,0.94375,0.9729166666666668,,
neat-leaf-3319,finished,2026-02-13T06:47:34.000Z,44,species,kan,0.8083333333333332,0.9729166666666668,,
neat-butterfly-3313,finished,2026-02-13T06:42:55.000Z,43,species,kan,0.8302083333333333,0.9729166666666668,,
playful-durian-3299,finished,2026-02-13T06:32:26.000Z,46,species,kan,0.8854166666666666,0.9729166666666668,,
whole-universe-3295,finished,2026-02-13T06:29:23.000Z,44,species,kan,0.7708333333333334,0.9729166666666668,,
royal-feather-3309,finished,2026-02-13T06:39:56.000Z,44,species,kan,0.9416666666666668,0.9708333333333332,,
golden-pine-3304,finished,2026-02-13T06:36:13.000Z,44,species,kan,0.7927083333333332,0.9645833333333332,,
clear-bee-3317,finished,2026-02-13T06:45:59.000Z,47,species,kan,0.8864583333333332,0.9645833333333332,,
absurd-aardvark-3318,finished,2026-02-13T06:46:47.000Z,46,species,kan,0.9364583333333334,0.9645833333333332,,
proud-snowball-3308,finished,2026-02-13T06:39:11.000Z,44,species,kan,0.95,0.9645833333333332,,
cool-firebrand-3293,finished,2026-02-13T06:27:54.000Z,44,species,kan,0.959375,0.9604166666666668,,
winter-music-3292,finished,2026-02-13T06:27:09.000Z,44,species,kan,0.6802083333333333,0.9479166666666666,,
revived-waterfall-3312,finished,2026-02-13T06:42:12.000Z,42,species,kan,0.7770833333333332,0.9291666666666668,,
deft-music-3316,finished,2026-02-13T06:45:09.000Z,48,species,kan,0.7531249999999999,0.90625,,
curious-hill-3300,finished,2026-02-13T06:33:13.000Z,43,species,kan,0.6625,0.8083333333333332,,
celestial-rain-3303,finished,2026-02-13T06:35:29.000Z,43,species,kan,0.6666666666666666,0.75625,,
worthy-fire-1826,finished,2026-02-12T03:43:05.000Z,38,species,lda,0.9666666666666668,0.9833333333333334,,
rosy-sea-1825,finished,2026-02-12T03:42:26.000Z,38,species,lda,0.9739583333333334,0.9833333333333334,,
resilient-sky-1834,finished,2026-02-12T03:48:19.000Z,37,species,lda,0.96875,0.975,,
sunny-pond-1833,finished,2026-02-12T03:47:40.000Z,38,species,lda,0.9729166666666668,0.975,,
graceful-gorge-1814,finished,2026-02-12T03:35:22.000Z,39,species,lda,0.9739583333333334,0.975,,
logical-planet-1820,finished,2026-02-12T03:39:15.000Z,36,species,lda,0.9666666666666668,0.975,,
vital-sponge-1835,finished,2026-02-12T03:48:57.000Z,38,species,lda,0.978125,0.9666666666666668,,
amber-blaze-1827,finished,2026-02-12T03:43:44.000Z,38,species,lda,0.9718750000000002,0.9666666666666668,,
polar-snowball-1841,finished,2026-02-12T03:52:48.000Z,37,species,lda,0.9677083333333334,0.9666666666666668,,
treasured-yogurt-1824,finished,2026-02-12T03:41:48.000Z,37,species,lda,0.978125,0.9666666666666668,,
wild-capybara-1843,finished,2026-02-12T03:54:05.000Z,37,species,lda,0.9718750000000002,0.9666666666666668,,
lyric-bee-1823,finished,2026-02-12T03:41:08.000Z,39,species,lda,0.978125,0.9666666666666668,,
