INFO:__main__:Dataset: species
INFO:train:Epoch [94/10000], Train Loss: 111368.1914 	 Train Accuracy: 0.4602 	 Val Loss: 14992.7305 	 Val Accuracy: 0.2273
INFO:train:Epoch [95/10000], Train Loss: 108974.6191 	 Train Accuracy: 0.4538 	 Val Loss: 14971.6152 	 Val Accuracy: 0.2500
INFO:train:Epoch [96/10000], Train Loss: 109975.3652 	 Train Accuracy: 0.4993 	 Val Loss: 14936.3574 	 Val Accuracy: 0.2955
INFO:train:Epoch [97/10000], Train Loss: 109035.1133 	 Train Accuracy: 0.4162 	 Val Loss: 14936.6826 	 Val Accuracy: 0.2955
INFO:train:Epoch [98/10000], Train Loss: 110305.9688 	 Train Accuracy: 0.5320 	 Val Loss: 14943.0283 	 Val Accuracy: 0.2500
INFO:train:Epoch [99/10000], Train Loss: 110615.8418 	 Train Accuracy: 0.4609 	 Val Loss: 14925.2529 	 Val Accuracy: 0.3409
INFO:train:Epoch [100/10000], Train Loss: 110511.7090 	 Train Accuracy: 0.4624 	 Val Loss: 14849.2490 	 Val Accuracy: 0.2273
INFO:train:Epoch [101/10000], Train Loss: 109946.6094 	 Train Accuracy: 0.4474 	 Val Loss: 14877.2920 	 Val Accuracy: 0.2955
INFO:train:Epoch [102/10000], Train Loss: 110169.4844 	 Train Accuracy: 0.3999 	 Val Loss: 14816.8652 	 Val Accuracy: 0.2955
INFO:train:Epoch [103/10000], Train Loss: 109518.5566 	 Train Accuracy: 0.5604 	 Val Loss: 14851.3994 	 Val Accuracy: 0.2727
INFO:train:Epoch [104/10000], Train Loss: 109999.5293 	 Train Accuracy: 0.3864 	 Val Loss: 14805.5811 	 Val Accuracy: 0.2500
INFO:train:Epoch [105/10000], Train Loss: 110349.0898 	 Train Accuracy: 0.5391 	 Val Loss: 14754.8545 	 Val Accuracy: 0.1591
INFO:train:Epoch [106/10000], Train Loss: 110853.5605 	 Train Accuracy: 0.5156 	 Val Loss: 14756.7793 	 Val Accuracy: 0.2045
INFO:train:Epoch [107/10000], Train Loss: 109041.5195 	 Train Accuracy: 0.4396 	 Val Loss: 14693.4844 	 Val Accuracy: 0.2500
INFO:train:Epoch [108/10000], Train Loss: 108437.7305 	 Train Accuracy: 0.4702 	 Val Loss: 14680.1475 	 Val Accuracy: 0.1818
INFO:train:Epoch [109/10000], Train Loss: 108691.9785 	 Train Accuracy: 0.4382 	 Val Loss: 14635.4854 	 Val Accuracy: 0.3636
INFO:train:Epoch [110/10000], Train Loss: 109772.8066 	 Train Accuracy: 0.5696 	 Val Loss: 14675.2666 	 Val Accuracy: 0.2955
INFO:train:Epoch [111/10000], Train Loss: 109783.8262 	 Train Accuracy: 0.4695 	 Val Loss: 14603.6807 	 Val Accuracy: 0.3864
INFO:train:Epoch [112/10000], Train Loss: 108688.6426 	 Train Accuracy: 0.4382 	 Val Loss: 14598.6504 	 Val Accuracy: 0.2727
INFO:train:Epoch [113/10000], Train Loss: 109466.4180 	 Train Accuracy: 0.5156 	 Val Loss: 14522.5664 	 Val Accuracy: 0.2955
INFO:train:Epoch [114/10000], Train Loss: 109060.4414 	 Train Accuracy: 0.5384 	 Val Loss: 14465.2441 	 Val Accuracy: 0.3182
INFO:train:Epoch [115/10000], Train Loss: 109165.4375 	 Train Accuracy: 0.5767 	 Val Loss: 14500.2617 	 Val Accuracy: 0.3182
INFO:train:Epoch [116/10000], Train Loss: 108940.1719 	 Train Accuracy: 0.4538 	 Val Loss: 14482.0625 	 Val Accuracy: 0.3182
INFO:train:Epoch [117/10000], Train Loss: 108057.8418 	 Train Accuracy: 0.4695 	 Val Loss: 14395.2803 	 Val Accuracy: 0.1818
INFO:train:Epoch [118/10000], Train Loss: 108259.9395 	 Train Accuracy: 0.5312 	 Val Loss: 14409.7783 	 Val Accuracy: 0.2273
INFO:train:Epoch [119/10000], Train Loss: 108506.2676 	 Train Accuracy: 0.4688 	 Val Loss: 14351.6445 	 Val Accuracy: 0.1591
INFO:train:Epoch [120/10000], Train Loss: 107466.2871 	 Train Accuracy: 0.5291 	 Val Loss: 14243.7266 	 Val Accuracy: 0.2500
INFO:train:Epoch [121/10000], Train Loss: 106617.1133 	 Train Accuracy: 0.4162 	 Val Loss: 14304.6377 	 Val Accuracy: 0.1818
INFO:train:Epoch [122/10000], Train Loss: 107727.7031 	 Train Accuracy: 0.4609 	 Val Loss: 14219.0498 	 Val Accuracy: 0.1818
INFO:train:Epoch [123/10000], Train Loss: 108179.9629 	 Train Accuracy: 0.4609 	 Val Loss: 14227.6260 	 Val Accuracy: 0.2727
INFO:train:Epoch [124/10000], Train Loss: 107529.1133 	 Train Accuracy: 0.5000 	 Val Loss: 14113.6250 	 Val Accuracy: 0.3182
INFO:train:Epoch [125/10000], Train Loss: 108322.5801 	 Train Accuracy: 0.5000 	 Val Loss: 14107.0605 	 Val Accuracy: 0.3182
INFO:train:Epoch [126/10000], Train Loss: 109049.2266 	 Train Accuracy: 0.5220 	 Val Loss: 14123.5117 	 Val Accuracy: 0.2727
INFO:train:Epoch [127/10000], Train Loss: 108189.2539 	 Train Accuracy: 0.5064 	 Val Loss: 13916.1484 	 Val Accuracy: 0.2045
INFO:train:Epoch [128/10000], Train Loss: 107255.2949 	 Train Accuracy: 0.4538 	 Val Loss: 13964.7910 	 Val Accuracy: 0.2955
INFO:train:Epoch [129/10000], Train Loss: 108442.5898 	 Train Accuracy: 0.5156 	 Val Loss: 13904.0723 	 Val Accuracy: 0.3182
INFO:train:Epoch [130/10000], Train Loss: 107118.5566 	 Train Accuracy: 0.4467 	 Val Loss: 13844.6025 	 Val Accuracy: 0.2045
INFO:train:Epoch [131/10000], Train Loss: 107119.5645 	 Train Accuracy: 0.5298 	 Val Loss: 13698.1104 	 Val Accuracy: 0.2273
INFO:train:Epoch [132/10000], Train Loss: 107070.7695 	 Train Accuracy: 0.4624 	 Val Loss: 13628.2949 	 Val Accuracy: 0.1818
INFO:train:Epoch [133/10000], Train Loss: 107395.8672 	 Train Accuracy: 0.5533 	 Val Loss: 13621.4990 	 Val Accuracy: 0.2273
INFO:train:Epoch [134/10000], Train Loss: 107283.8086 	 Train Accuracy: 0.5376 	 Val Loss: 13637.6162 	 Val Accuracy: 0.2045
INFO:train:Epoch [135/10000], Train Loss: 105934.9160 	 Train Accuracy: 0.4162 	 Val Loss: 13483.2861 	 Val Accuracy: 0.2500
INFO:train:Epoch [136/10000], Train Loss: 105287.7500 	 Train Accuracy: 0.5149 	 Val Loss: 13395.5332 	 Val Accuracy: 0.2045
INFO:train:Epoch [137/10000], Train Loss: 107194.6035 	 Train Accuracy: 0.5142 	 Val Loss: 13316.5732 	 Val Accuracy: 0.2500
INFO:train:Epoch [138/10000], Train Loss: 105292.9453 	 Train Accuracy: 0.5511 	 Val Loss: 13257.0547 	 Val Accuracy: 0.2045
INFO:train:Epoch [139/10000], Train Loss: 106053.7656 	 Train Accuracy: 0.5376 	 Val Loss: 13215.5928 	 Val Accuracy: 0.2273
INFO:train:Epoch [140/10000], Train Loss: 104904.7129 	 Train Accuracy: 0.6200 	 Val Loss: 13102.0820 	 Val Accuracy: 0.2500
INFO:train:Epoch [141/10000], Train Loss: 105238.7832 	 Train Accuracy: 0.4851 	 Val Loss: 13016.1826 	 Val Accuracy: 0.3409
INFO:train:Epoch [142/10000], Train Loss: 105643.2871 	 Train Accuracy: 0.4233 	 Val Loss: 13005.6289 	 Val Accuracy: 0.2273
INFO:train:Epoch [143/10000], Train Loss: 104517.4668 	 Train Accuracy: 0.4006 	 Val Loss: 13028.5654 	 Val Accuracy: 0.2500
INFO:train:Epoch [144/10000], Train Loss: 104375.2793 	 Train Accuracy: 0.5369 	 Val Loss: 12826.0928 	 Val Accuracy: 0.2045
INFO:train:Epoch [145/10000], Train Loss: 105641.6660 	 Train Accuracy: 0.5597 	 Val Loss: 12691.7803 	 Val Accuracy: 0.2045
INFO:train:Epoch [146/10000], Train Loss: 103950.3750 	 Train Accuracy: 0.5142 	 Val Loss: 12652.3701 	 Val Accuracy: 0.2273
INFO:train:Epoch [147/10000], Train Loss: 103819.0605 	 Train Accuracy: 0.5071 	 Val Loss: 12578.1738 	 Val Accuracy: 0.2273
INFO:train:Epoch [148/10000], Train Loss: 103162.5605 	 Train Accuracy: 0.4382 	 Val Loss: 12530.8740 	 Val Accuracy: 0.2500
INFO:train:Epoch [149/10000], Train Loss: 102569.7539 	 Train Accuracy: 0.4332 	 Val Loss: 12389.1953 	 Val Accuracy: 0.2273
INFO:train:Epoch [150/10000], Train Loss: 102579.0273 	 Train Accuracy: 0.5078 	 Val Loss: 12254.5303 	 Val Accuracy: 0.2045
INFO:train:Epoch [151/10000], Train Loss: 102231.1934 	 Train Accuracy: 0.4773 	 Val Loss: 12329.4297 	 Val Accuracy: 0.2273
INFO:train:Epoch [152/10000], Train Loss: 102545.5488 	 Train Accuracy: 0.4006 	 Val Loss: 12259.1758 	 Val Accuracy: 0.2045
INFO:train:Epoch [153/10000], Train Loss: 102561.8613 	 Train Accuracy: 0.4688 	 Val Loss: 12208.6885 	 Val Accuracy: 0.2273
INFO:train:Epoch [154/10000], Train Loss: 102472.3926 	 Train Accuracy: 0.5604 	 Val Loss: 12059.3740 	 Val Accuracy: 0.2045
INFO:train:Epoch [155/10000], Train Loss: 102282.7188 	 Train Accuracy: 0.4702 	 Val Loss: 11994.3066 	 Val Accuracy: 0.2273
