Generation,Operation,Total_Time,Calls,Average_Time
47,Average_Crossover,0.00742408,48,0.000154668
47,Average_Mutation,0.00013721,48,2.85854e-06
47,Elitism,0.0102453,48,0.000213445
47,Fitness_Statistics,8.1065e-05,48,1.68885e-06
47,Parent_Selection,0.0794592,48,0.0016554
47,Population_Completion,2.033e-06,48,4.23542e-08
47,Population_Evaluation,6261.63,48,130.451
47,Total_Breeding,0.789364,48,0.0164451
48,Accuracy_Calculation,28.7372,49,0.586473
48,Average_Crossover,0.0075668,49,0.000154425
48,Average_Mutation,0.000140228,49,2.8618e-06
48,Elitism,0.0104449,49,0.000213161
48,Fitness_Statistics,8.2698e-05,49,1.68771e-06
48,Parent_Selection,0.080573,49,0.00164435
48,Population_Completion,2.084e-06,49,4.25306e-08
48,Population_Evaluation,6322.88,49,129.038
48,Total_Breeding,0.80414,49,0.016411
49,Accuracy_Calculation,29.2406,50,0.584812
49,Average_Crossover,0.00770796,50,0.000154159
49,Average_Mutation,0.000143575,50,2.87149e-06
49,Elitism,0.0106502,50,0.000213005
49,Fitness_Statistics,8.4482e-05,50,1.68964e-06
49,Parent_Selection,0.0816361,50,0.00163272
49,Population_Completion,2.134e-06,50,4.268e-08
49,Population_Evaluation,6438.69,50,128.774
49,Total_Breeding,0.818729,50,0.0163746
